????	???????¨¤	?????¨¤¡À?	??????????	?????????¡Â??	?¨ª??	????	???¡Â??¡Á?	?¨º???¨¤¡À?	Level	
M·nh NhÉn Hoµng Kim (5/6)	4	241	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh NhÉn Hoµng Kim (6/6)	4	242	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
§å Phæ Hoµng Kim M«n Ph¸i	4	243	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó c­êng hãa <color=yellow>Trang bŞ Hoµng Kim	0	1	
§å Phæ Nãn Hoµng Kim	4	244	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó c­êng hãa <color=yellow>Trang bŞ Hoµng Kim	0	1	
§å Phæ ¸o Gi¸p Hoµng Kim	4	245	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó c­êng hãa <color=yellow>Trang bŞ Hoµng Kim	0	1	
§å Phæ Bao Tay Hoµng Kim	4	246	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó c­êng hãa <color=yellow>Trang bŞ Hoµng Kim	0	1	
§å Phæ Th¾t L­ng Hoµng Kim	4	247	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó c­êng hãa <color=yellow>Trang bŞ Hoµng Kim	0	1	
§å Phæ Giµy Hoµng Kim	4	248	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó c­êng hãa <color=yellow>Trang bŞ Hoµng Kim	0	1	
C«ng Thµnh ChiÕn LÔ Bao	4	249	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	"PhÇn th­ëng cña ng­êi lËp c«ng trong c«ng thµnh chiÕn, bÊm chuét ph¶i sö dông"	0	1	
§å Phæ D©y ChuyÒn Hoµng Kim	4	250	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó c­êng hãa <color=yellow>Trang bŞ Hoµng Kim	0	1	
Phi Phong	4	251	\spr\item\obj_item_mantle.spr	338	1	1	Click ph¶i chuét ®Ó mang vµo ¸o xanh	0	1	
B¸t Nh· T©m Kinh	4	252	\spr\item\questkey\obj_item_lection.spr	41	1	1	Sö dông lo¹i bá hoµn toµn kinh nghiªm ©m	0	1	
MËt §å ThÇn Bİ 	4	253	\spr\item\questkey\taskobj076.spr	41	2	1	"TÊm b¶n ®å ghi l¹i tÊt c¶ nh÷ng ®Şa ®iÓm quan träng, gióp ta cã thÓ ®i tíi ®ã dÔ dµng."	1	1	
Long §Çu	4	254	\spr\item\questkey\dragonhead.spr	428	1	1	Mét bé phËn cña thuyÒn Rång	1	1	
Th©n Rång	4	255	\spr\item\questkey\dragonbody.spr	428	1	1	Mét bé phËn cña thuyÒn Rång	1	1	
X­¬ng Rång	4	256	\spr\item\questkey\keel.spr	428	1	1	Mét bé phËn cña thuyÒn Rång	1	1	
§u«i Rång	4	257	\spr\item\questkey\dragontail.spr	428	1	1	Mét bé phËn cña thuyÒn Rång	1	1	
M¸i chÌo	4	258	\spr\item\questkey\oar.spr	428	1	1	Mét bé phËn cña thuyÒn Rång	1	1	
B¸nh l¸i	4	259	\spr\item\questkey\helm.spr	428	1	1	Mét bé phËn cña thuyÒn Rång	1	1	
Trèng	4	260	\spr\item\songjin\wardrum.spr	428	1	1	VËt kh«ng thÓ thiÕu trong c¸c cuéc so tµi	1	1	
ThuyÒn Rång Nhá	4	261	\spr\item\questkey\dragonboat.spr	41	2	1	Sö dông trong sù kiÖn Hç Trî T©n Thñ.<enter>Cã thÓ nhËn ®­îc rÊt nhiÒu kinh nghiÖm vµ vËt phÈm quı	1	1	
ThuyÒn Rång TruyÒn Thèng	4	262	\spr\item\questkey\dragonboat.spr	41	2	1	Sö dông trong sù kiÖn Hç Trî T©n Thñ.<enter>Cã thÓ nhËn ®­îc rÊt nhiÒu kinh nghiÖm vµ vËt phÈm quı	1	1	
Hoµng Kim S¸t (tiÓu)	4	263	\spr\item\questkey\obj_item_herokey3.spr	385	1	1	Sö dông ë b¶n ®å luyÖn c«ng. T¹o ra 1 Boss TiÓu Hoµng Kim	0	1	
[VIP] Thõa Tiªn MËt LÔ Bao	4	264	\spr\item\obj_item_jixiang.spr	277	1	1	VËt phÈm hç trî luyÖn c«ng. AutoPlay tù ®éng më <color=yellow>20 b×nh Thõa Tiªn MËt <color>khi hÕt.	0	1	7500
Qu¶ Hoµng Kim	4	265	\spr\item\questkey\huangjinzhiguo.spr	377	1	1	¡n vµo t¨ng thªm 30.000.000 kinh nghiÖm<enter>Sö dông cho ®¼ng cÊp: <color=red>d­íi 120	0	1	
R­¬ng §ång	4	266	\spr\item\oldbox\oldbox.spr	367	1	1	Më ra cã x¸c suÊt nhËn ®­îc: Tiªn Th¶o Lé / N÷ Nhi Hång 30 phót	1	1	
R­¬ng B¹c	4	267	\spr\item\script\yunyoulihe.spr	367	1	1	"Më ra cã x¸c suÊt nhËn ®­îc: Tiªn Th¶o Lé / N÷ Nhi Hång 1 giê / 3 giê, Thiªn S¬n B¶o Lé "	1	1	
R­¬ng Vµng	4	268	\spr\item\script\item_goldenbox.spr	367	2	2	"Më ra cã x¸c suÊt nhËn ®­îc: Thñy Tinh, Tinh Hång B¶o Th¹ch, Tiªn Th¶o Lé / N÷ Nhi Hång 6 giê, QuÕ Hoa Töu "	1	1	
R­¬ng B¹ch Kim	4	269	\spr\item\script\item_silverbox.spr	367	2	2	Më ra cã x¸c suÊt nhËn ®­îc: M·nh Ngùa Xİch Thè / ChiÕu D¹ / QHT /Phóc Duyªn/ M¶nh D©y ChuyÒn AB	1	1	
M·nh Nhu T×nh	4	270	\spr\item\script\item_huangjintupu.spr	41	1	1	Thu thËp ®ñ <color=red>50 M·nh<color> ®Ó ghĞp thµnh 1 trang bŞ Nhu T×nh<enter>GhĞp t¹i <color=green>NPC Thî RÌn<color>	1	1	
M·nh HiÖp Cèt	4	271	\spr\item\script\item_huangjintupu.spr	41	1	1	Thu thËp ®ñ <color=red>50 M·nh<color> ®Ó ghĞp thµnh 1 trang bŞ HiÖp Cèt<enter>GhĞp t¹i <color=green>NPC Thî RÌn<color>	1	1	
Thæ §Şa Phï [30 Ngày]	4	272	\spr\item\special\Obj_TownPortal.spr	38	1	1	Gióp c¸c b¹n trë vÒ thµnh nhanh chèng <enter>NhÊp chuét ph¶I ®Ó sö dông	0	1	
M·nh Ngùa ChiÕu D¹	4	273	\spr\item\citydefence\bigfragment.spr	38	1	1	Thu thËp ®ñ 100 M·nh cã thÓ ghĞp thµnh <color=yellow>ChiÕu D¹ Ngäc S­ Tö  <color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	1	1	
M·nh Ngùa Phi V©n	4	274	\spr\item\citydefence\bigfragment.spr	38	1	1	Thu thËp ®ñ 100 M·nh cã thÓ ghĞp thµnh <color=yellow>Phi V©n  <color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	1	1	
M·nh Ngùa Phi V©n [Cò]	4	275	\spr\item\citydefence\bigfragment.spr	38	1	1	Liªn HÖ Admin ®Ó ®æi sang M·nh B«n Tiªu	1	1	
M·nh Ngùa B«n Tiªu	4	276	\spr\item\citydefence\bigfragment.spr	38	1	1	Thu thËp ®ñ 100 M·nh cã thÓ ghĞp thµnh <color=yellow>B«n Tiªu  <color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	1	1	
M·nh Ngùa Phiªn Vò	4	277	\spr\item\citydefence\bigfragment.spr	38	1	1	Thu thËp ®ñ 100 M·nh cã thÓ ghĞp thµnh <color=yellow>Phiªn Vò  <color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	1	1	
M·nh Ngùa Phi V©n	4	278	\spr\item\citydefence\bigfragment.spr	38	1	1	Thu thËp ®ñ 100 M·nh cã thÓ ghĞp thµnh <color=yellow>ThÇn M· Phi V©n<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	1	1	
M·nh Phi V©n [2]	4	279	\spr\item\citydefence\bigfragment.spr	38	1	1	Thu thËp ®ñ 5 M·nh cã thÓ ghĞp thµnh <color=yellow>ThÇn M· Phi V©n<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh Phi V©n [3]	4	280	\spr\item\citydefence\bigfragment.spr	38	1	1	Thu thËp ®ñ 5 M·nh cã thÓ ghĞp thµnh <color=yellow>ThÇn M· Phi V©n<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh Phi V©n [4]	4	281	\spr\item\citydefence\bigfragment.spr	38	1	1	Thu thËp ®ñ 5 M·nh cã thÓ ghĞp thµnh <color=yellow>ThÇn M· Phi V©n<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh Phi V©n [5]	4	282	\spr\item\citydefence\bigfragment.spr	38	1	1	Thu thËp ®ñ 5 M·nh cã thÓ ghĞp thµnh <color=yellow>ThÇn M· Phi V©n<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh D©y ChuyÒn An Bang	4	283	\spr\item\citydefence\bigfragment.spr	41	1	1	Thu thËp ®ñ 50 M·nh ®Ó hîp thµnh trang bŞ t¹i: <color=green>Thî RÌn<color><enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång.	1	1	
M·nh NhÉn Cóc Hoa	4	284	\spr\item\citydefence\bigfragment.spr	41	1	1	Thu thËp ®ñ 50 M·nh ®Ó hîp thµnh trang bŞ t¹i: <color=green>Thî RÌn<color><enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång.	1	1	
M·nh NhÉn Kª HuyÕt	4	285	\spr\item\citydefence\bigfragment.spr	41	1	1	Thu thËp ®ñ 50 M·nh ®Ó hîp thµnh trang bŞ t¹i: <color=green>Thî RÌn<color><enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång.	1	1	
M·nh Ngäc Béi An Bang	4	286	\spr\item\citydefence\bigfragment.spr	41	1	1	Thu thËp ®ñ 50 M·nh ®Ó hîp thµnh trang bŞ t¹i: <color=green>Thî RÌn<color><enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång.	1	1	
M·nh Nãn §Şnh Quèc	4	287	\spr\item\citydefence\bigfragment.spr	41	1	1	Thu thËp ®ñ 50 M·nh ®Ó hîp thµnh trang bŞ t¹i: <color=green>Thî RÌn<color><enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång.	1	1	
M·nh ¸o §Şnh Quèc	4	288	\spr\item\citydefence\bigfragment.spr	41	1	1	Thu thËp ®ñ 50 M·nh ®Ó hîp thµnh trang bŞ t¹i: <color=green>Thî RÌn<color><enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång.	1	1	
M·nh Bao Tay §Şnh Quèc	4	289	\spr\item\citydefence\bigfragment.spr	41	1	1	Thu thËp ®ñ 50 M·nh ®Ó hîp thµnh trang bŞ t¹i: <color=green>Thî RÌn<color><enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång.	1	1	
M·nh Th¾t L­ng §Şnh Quèc	4	290	\spr\item\citydefence\bigfragment.spr	41	1	1	Thu thËp ®ñ 50 M·nh ®Ó hîp thµnh trang bŞ t¹i: <color=green>Thî RÌn<color><enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång.	1	1	
M·nh Giµy §Şnh Quèc	4	291	\spr\item\citydefence\bigfragment.spr	41	1	1	Thu thËp ®ñ 50 M·nh ®Ó hîp thµnh trang bŞ t¹i: <color=green>Thî RÌn<color><enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång.	1	1	
M·nh NhÉn Cóc Hoa [5]	4	292	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 50 M·nh ®Ó hîp thµnh trang bŞ t¹i: <color=green>Thî RÌn<color><enter>L­u ı: Click chuét ph¶i ®Ó xÕp chång.	1	1	
M·nh NhÉn Kª HuyÕt	4	293	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 100 M·nh cã thÓ ghĞp thµnh <color=yellow>An Bang Kª HuyÕt Th¹ch Giêi ChØ <color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	1	1	
M·nh NhÉn Kª HuyÕt [2]	4	294	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 5 M·nh cã thÓ ghĞp thµnh <color=yellow>An Bang Kª HuyÕt Th¹ch Giêi ChØ <color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh NhÉn Kª HuyÕt [3]	4	295	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 5 M·nh cã thÓ ghĞp thµnh <color=yellow>An Bang Kª HuyÕt Th¹ch Giêi ChØ <color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh NhÉn Kª HuyÕt [4]	4	296	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 5 M·nh cã thÓ ghĞp thµnh <color=yellow>An Bang Kª HuyÕt Th¹ch Giêi ChØ <color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh NhÉn Kª HuyÕt [5]	4	297	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 5 M·nh cã thÓ ghĞp thµnh <color=yellow>An Bang Kª HuyÕt Th¹ch Giêi ChØ <color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh Ngäc Béi An Bang	4	298	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 100 M·nh cã thÓ ghĞp thµnh <color=yellow>An Bang §iÒn Hoµng Th¹ch Ngäc Béi<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	1	1	
M·nh Ngäc Béi An Bang [2]	4	299	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 5 M·nh cã thÓ ghĞp thµnh <color=yellow>An Bang §iÒn Hoµng Th¹ch Ngäc Béi<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh Ngäc Béi An Bang [3]	4	300	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 5 M·nh cã thÓ ghĞp thµnh <color=yellow>An Bang §iÒn Hoµng Th¹ch Ngäc Béi<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh Ngäc Béi An Bang [4]	4	301	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 5 M·nh cã thÓ ghĞp thµnh <color=yellow>An Bang §iÒn Hoµng Th¹ch Ngäc Béi<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh Ngäc Béi An Bang [5]	4	302	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 5 M·nh cã thÓ ghĞp thµnh <color=yellow>An Bang §iÒn Hoµng Th¹ch Ngäc Béi<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh R­¬ng Tèng Kim	4	303	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 6 M·nh cã thÓ ghĞp thµnh <color=yellow>R­¬ng Tèng Kim<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
R­¬ng Tèng Kim 1	4	304	\spr\item\script\item_silverbox.spr	38	2	2	"Më ra nhËn ®­îc Tiªn Th¶o Lé, N÷ Nhi Hång"	0	1	
R­¬ng Tèng Kim 2	4	305	\spr\item\script\item_silverbox.spr	38	2	2	Më ra nhËn ®­îc 1 Trang BŞ Xanh	0	1	
R­¬ng Tèng Kim 3	4	306	\spr\item\script\item_silverbox.spr	38	2	2	Më ra nhËn ®­îc 1 Vò Khİ Xanh	0	1	
M·nh §Şnh Quèc [5]	4	307	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 10 M·nh cã thÓ ghĞp thµnh <color=yellow>Trang bŞ §Şnh Quèc ngÉu nhiªn<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh §Şnh Quèc [6]	4	308	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 10 M·nh cã thÓ ghĞp thµnh <color=yellow>Trang bŞ §Şnh Quèc ngÉu nhiªn<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh §Şnh Quèc [7]	4	309	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 10 M·nh cã thÓ ghĞp thµnh <color=yellow>Trang bŞ §Şnh Quèc ngÉu nhiªn<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh §Şnh Quèc [8]	4	310	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 10 M·nh cã thÓ ghĞp thµnh <color=yellow>Trang bŞ §Şnh Quèc ngÉu nhiªn<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh §Şnh Quèc [9]	4	311	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 10 M·nh cã thÓ ghĞp thµnh <color=yellow>Trang bŞ §Şnh Quèc ngÉu nhiªn<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·nh §Şnh Quèc [10]	4	312	\spr\item\script\item_huangjintupu.spr	38	1	1	Thu thËp ®ñ 10 M·nh cã thÓ ghĞp thµnh <color=yellow>Trang bŞ §Şnh Quèc ngÉu nhiªn<color><enter>ChÕ t¹o t¹i: <color=green>Thî RÌn<color>	0	1	
M·ng CÇu	4	313	\spr\item\yn_chunjie\yn_manqiuguo.spr	41	1	1	"Mét trong 5 lo¹i thuéc M©m Ngò Qu¶ Ngµy TÕt.<enter>CÇu chóc mét n¨m míi an khang, thŞnh v­îng, mét cuéc sèng no ®ñ."	1	1	
Dõa	4	314	\spr\item\yn_chunjie\yn_yezi.spr	41	1	1	"Mét trong 5 lo¹i thuéc M©m Ngò Qu¶ Ngµy TÕt.<enter>CÇu chóc mét n¨m míi an khang, thŞnh v­îng, mét cuéc sèng no ®ñ."	1	1	
§u §ñ	4	315	\spr\item\yn_chunjie\yn_mugua.spr	41	1	1	"Mét trong 5 lo¹i thuéc M©m Ngò Qu¶ Ngµy TÕt.<enter>CÇu chóc mét n¨m míi an khang, thŞnh v­îng, mét cuéc sèng no ®ñ."	1	1	
Xoµi	4	316	\spr\item\yn_chunjie\yn_mangguo.spr	41	1	1	"Mét trong 5 lo¹i thuéc M©m Ngò Qu¶ Ngµy TÕt.<enter>CÇu chóc mét n¨m míi an khang, thŞnh v­îng, mét cuéc sèng no ®ñ."	1	1	
Sung	4	317	\spr\item\yn_chunjie\yn_chengqunguo.spr	41	1	1	"Mét trong 5 lo¹i thuéc M©m Ngò Qu¶ Ngµy TÕt.<enter>CÇu chóc mét n¨m míi an khang, thŞnh v­îng, mét cuéc sèng no ®ñ."	1	1	
Phóc	4	318	\spr\item\newyear2008\fu.spr	41	2	1	"Mét trong nh÷ng nguyªn liÖu trang trİ c©y §µo, c©y Mai, treo ®ñ bé Phóc - Léc - Thä sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn."	1	1	
Léc	4	319	\spr\item\newyear2008\lu.spr	41	2	1	"Mét trong nh÷ng nguyªn liÖu trang trİ c©y §µo, c©y Mai, treo ®ñ bé Phóc - Léc - Thä sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn."	1	1	
Thä	4	320	\spr\item\newyear2008\shou.spr	41	2	1	"Mét trong nh÷ng nguyªn liÖu trang trİ c©y §µo, c©y Mai, treo ®ñ bé Phóc - Léc - Thä sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn."	1	1	
M©m B¹c	4	321	\spr\item\script\baiyinpan.spr	41	1	1	"Mét trong 5 lo¹i thuéc M©m Ngò Qu¶ Ngµy TÕt.<enter>CÇu chóc mét n¨m míi an khang, thŞnh v­îng, mét cuéc sèng no ®ñ."	1	1	
M©m Vµng	4	322	\spr\item\script\huangjinpan.spr	41	1	1	"Mét trong 5 lo¹i thuéc M©m Ngò Qu¶ Ngµy TÕt.<enter>CÇu chóc mét n¨m míi an khang, thŞnh v­îng, mét cuéc sèng no ®ñ."	1	1	
M©m B¹c Ngò Qu¶	4	323	\spr\item\script\wuguobaiyinpan.spr	41	1	1	"Mét trong 5 lo¹i thuéc M©m Ngò Qu¶ Ngµy TÕt.<enter>CÇu chóc mét n¨m míi an khang, thŞnh v­îng, mét cuéc sèng no ®ñ."	1	1	
M©m Vµng Ngò Qu¶	4	324	\spr\item\script\wuguohuangjinpan.spr	41	1	1	"Mét trong 5 lo¹i thuéc M©m Ngò Qu¶ Ngµy TÕt.<enter>CÇu chóc mét n¨m míi an khang, thŞnh v­îng, mét cuéc sèng no ®ñ."	1	1	
Bao L× X× (Nhá)	4	325	\spr\item\newyear0901\facaihongbao.spr	330	1	1	VËt phÈm kh«ng thÓ thiÕu trong nh÷ng ngµy vui	0	1	
Bao L× X× (Lín)	4	326	\spr\item\script\pingzi\200805\daxilibao.spr	330	1	1	VËt phÈm kh«ng thÓ thiÕu trong nh÷ng ngµy vui	0	1	
Ph¸o Hoa N¨m Míi	4	327	\spr\item\magic\icon_item_baozhu.spr	330	1	1	Happy New Year	0	1	
Kim B¨ng Tinh	4	328	\spr\item\vnxmas2007\jin_bingjin.spr	41	1	1	Nguyªn liÖu hîp thµnh Ngò S¾c B¨ng Tinh	0	1	
Méc B¨ng Tinh	4	329	\spr\item\vnxmas2007\mu_bingjin.spr	41	1	1	Nguyªn liÖu hîp thµnh Ngò S¾c B¨ng Tinh	0	1	
Thñy B¨ng Tinh	4	330	\spr\item\vnxmas2007\shui_bingjin.spr	41	1	1	Nguyªn liÖu hîp thµnh Ngò S¾c B¨ng Tinh	0	1	
Háa B¨ng Tinh	4	331	\spr\item\vnxmas2007\huo_bingjin.spr	41	1	1	Nguyªn liÖu hîp thµnh Ngò S¾c B¨ng Tinh	0	1	
Thæ B¨ng Tinh	4	332	\spr\item\vnxmas2007\tu_bingjin.spr	41	1	1	Nguyªn liÖu hîp thµnh Ngò S¾c B¨ng Tinh	0	1	
Ngò S¾c B¨ng Tinh	4	333	\spr\item\vnxmas2007\wuse_bingjin.spr	41	1	1	Nguyªn liÖu t¸i t¹o An Bang Hoµn Mü 	0	1	
Bã Hoa Hång	4	334	\spr\item\funvjie_jieri\200803\shumeigui.spr	330	1	2	Sö dông ®Ó nhËn ®­îc rÊt nhiÒu Hoa Hång §á 	1	1	
Hoa Hång §á	4	335	\spr\item\questkey\flower.spr	330	1	1	"Nh©n ngµy quèc tÕ phô n÷ 8/3, d©ng tÆng bã hoa hång th¬m ng¸t cho c¸c chŞ em."	1	1	
§å Phæ NhÉn Hoµng Kim	4	336	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó c­êng hãa <color=yellow>Trang bŞ Hoµng Kim	0	1	
§å Phæ Ngäc Béi Hoµng Kim	4	337	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó c­êng hãa <color=yellow>Trang bŞ Hoµng Kim	0	1	
Hép Quµ 20 th¸ng 10	4	338	\spr\item\script\jiefang_jieri\200804\luckybox.spr	330	1	1	Më ra nhËn ®­îc c¸c nguyªn liÖu 20/10	1	1	
M·nh Ngùa Phiªn Vò 	4	339	\spr\item\citydefence\bigfragment.spr	330	1	1	Thu thËp ®ñ 100 M·nh cã thÓ ghĞp thµnh <color=yellow>Phiªn Vò <color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	1	1	
M·nh Ngùa Phiªn Vò [2]	4	340	\spr\item\citydefence\bigfragment.spr	330	1	1	Thu thËp ®ñ 3 - 5 M·nh cã thÓ ghĞp thµnh <color=yellow>Phiªn Vò<color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	0	1	
M·nh Ngùa Phiªn Vò [3]	4	341	\spr\item\citydefence\bigfragment.spr	330	1	1	Thu thËp ®ñ 3 - 5 M·nh cã thÓ ghĞp thµnh <color=yellow>Phiªn Vò<color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	0	1	
M·nh Ngùa Phiªn Vò [4]	4	342	\spr\item\citydefence\bigfragment.spr	330	1	1	Thu thËp ®ñ 3 - 5 M·nh cã thÓ ghĞp thµnh <color=yellow>Phiªn Vò<color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	0	1	
M·nh Ngùa Phiªn Vò [5]	4	343	\spr\item\citydefence\bigfragment.spr	330	1	1	Thu thËp ®ñ 3 - 5 M·nh cã thÓ ghĞp thµnh <color=yellow>Phiªn Vò<color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	0	1	
M·nh Ngùa Du Huy [1]	4	344	\spr\item\citydefence\bigfragment.spr	330	1	1	Thu thËp ®ñ 20 M·nh Mçi Lo¹i 1 - 5 cã thÓ ghĞp thµnh <color=yellow>Du Huy<color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	1	1	
M·nh Ngùa Du Huy [2]	4	345	\spr\item\citydefence\bigfragment.spr	330	1	1	Thu thËp ®ñ 20 M·nh Mçi Lo¹i 1 - 5 cã thÓ ghĞp thµnh <color=yellow>Du Huy<color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	1	1	
M·nh Ngùa Du Huy [3]	4	346	\spr\item\citydefence\bigfragment.spr	330	1	1	Thu thËp ®ñ 20 M·nh Mçi Lo¹i 1 - 5 cã thÓ ghĞp thµnh <color=yellow>Du Huy<color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	1	1	
M·nh Ngùa Du Huy [4]	4	347	\spr\item\citydefence\bigfragment.spr	330	1	1	Thu thËp ®ñ 20 M·nh Mçi Lo¹i 1 - 5 cã thÓ ghĞp thµnh <color=yellow>Du Huy<color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	1	1	
M·nh Ngùa Du Huy [5]	4	348	\spr\item\citydefence\bigfragment.spr	330	1	1	Thu thËp ®ñ 20 M·nh Mçi Lo¹i 1 - 5 cã thÓ ghĞp thµnh <color=yellow>Du Huy<color><enter>ChÕ t¹o t¹i: <color=green>B¸n Ngùa<color>	1	1	
B¸nh TĞt	4	349	\spr\item\yn_chunjie\yn_chunbing_nan.spr	330	1	1	H­¬ng vŞ ngät ngµo lan táa.<enter><color=blue>H¹n sö dông: 17:00 ngµy 31-03-2021<color>	1	1	
B¸nh Ch­ng	4	350	\spr\item\yn_chunjie\yn_chunbing_bei.spr	330	1	1	B¸nh ch­ng h­¬ng vŞ chua cµy ®Ëm ®µ.<enter><color=blue>H¹n sö dông: 17:00 ngµy 31-03-2021<color>	1	1	
L¸ B¸nh	4	351	\spr\item\newyear2008\zongyue.spr	330	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 17:00 ngµy 31-03-2021<color>	1	1	
G¹o NÕp	4	352	\spr\item\newyear2008\nuomi.spr	330	1	1	Mét trong nh÷ng nguyªn liÖu lµm b¸nh ch­ng th¬m ngon.<enter><color=blue>H¹n sö dông: 17:00 ngµy 31-03-2021<color>	1	1	
