????	???????¨¤	?????¨¤¡À?	??????????	?????????¡Â??	?¨ª??	????	???¡Â??¡Á?	?¨º???¨¤¡À?	Level	
M·nh NhÉn Hoµng Kim (3/6)	4	239	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh NhÉn Hoµng Kim (4/6)	4	240	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh NhÉn Hoµng Kim (5/6)	4	241	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
M·nh NhÉn Hoµng Kim (6/6)	4	242	\spr\item\citydefence\bigfragment.spr	330	1	1	ChØ cÇn thu thËp ®ñ 6 m·nh kÕt hîp cïng §å Phæ Hoµng Kim sÏ t¹o ra 1 trang bŞ Hoµng Kim theo ı muèn	0	1	
§å Phæ Vò Khİ Hoµng Kim	4	243	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó t¹o thµnh <color=yellow>M·nh Vò Khİ Hoµng Kim	0	1	
§å Phæ Nãn Hoµng Kim	4	244	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó t¹o thµnh <color=yellow>M·nh Nãn Hoµng Kim	0	1	
§å Phæ ¸o Gi¸p Hoµng Kim	4	245	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó t¹o thµnh <color=yellow>M·nh ¸o Gi¸p Hoµng Kim	0	1	
§å Phæ Bao Tay Hoµng Kim	4	246	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó t¹o thµnh <color=yellow>M·nh Bao Tay Hoµng Kim	0	1	
§å Phæ Th¾t L­ng Hoµng Kim	4	247	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó t¹o thµnh <color=yellow>M·nh Th¾t L­ng Hoµng Kim	0	1	
§å Phæ Giµy Hoµng Kim	4	248	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó t¹o thµnh <color=yellow>M·nh Giµy Hoµng Kim	0	1	
C«ng Thµnh ChiÕn LÔ Bao	4	249	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	"PhÇn th­ëng cña ng­êi lËp c«ng trong c«ng thµnh chiÕn, bÊm chuét ph¶i sö dông"	0	1	
§å Phæ D©y ChuyÒn Hoµng Kim	4	250	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó t¹o thµnh <color=yellow>M·nh D©y ChuyÒn Hoµng Kim	0	1	
§å Phæ Ngäc Béi Hoµng Kim	4	251	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó t¹o thµnh <color=yellow>M·nh Ngäc Béi Hoµng Kim	0	1	
§å Phæ NhÉn Hoµng Kim	4	252	\spr\item\script\item_huangjintupu.spr	41	1	1	Nguyªn LiÖu ®Ó t¹o thµnh <color=yellow>M·nh NhÉn Hoµng Kim	0	1	
MËt §å ThÇn Bİ 	4	253	\spr\item\questkey\taskobj076.spr	41	2	1	"TÊm b¶n ®å ghi l¹i tÊt c¶ nh÷ng ®Şa ®iÓm quan träng, gióp ta cã thÓ ®i tíi ®ã dÔ dµng."	1	1	
