????	ItemGenre	DetailType	ParticularType	??????????	?????????????	???????	????	??????????	????????	????	????	????¡§¡§?????¡§¡§?	???????????1?????¡§¡§??	???????????1???????	???????????1??????????	???????????2?????¡§¡§??	???????????2???????	???????????2??????????	???????????3?????¡§¡§??	???????????3???????	???????????3??????????	???????????4?????¡§¡§??	???????????4???????	???????????4??????????	???????????5?????¡§¡§??	???????????5???????	???????????5??????????	???????????6?????¡§¡§??	???????????6???????	???????????6??????????	???????????7?????¡§¡§??	???????????7???????	???????????7??????????	????????????????1?????¡§¡§??	????????????????1????	????????????????2?????¡§¡§??	????????????????2????	????????????????3?????¡§¡§??	????????????????3????	????????????????4?????¡§¡§??	????????????????4????	????????????????5?????¡§¡§??	????????????????5????	????????????????6?????¡§¡§??	????????????????6????	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Ma S¸t V©n Long Thæ Ch©u Giíi 	0	3	22	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	7									1	28	10	1	43	-1	-1	205	1	1												
Ma S¸t V©n Long Thæ Ch©u Giíi 	0	3	22	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	7									1	28	10	1	43	-1	-1	205	1	1												
Ma S¸t V©n Long Thæ Ch©u Giíi 	0	3	22	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	7									1	28	10	1	43	-1	-1	205	1	1												
Ma S¸t V©n Long Thæ Ch©u Giíi 	0	3	22	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	7									1	28	10	1	43	-1	-1	205	1	1												
Ma S¸t V©n Long Thæ Ch©u Giíi 	0	3	22	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	7									1	28	10	1	43	-1	-1	205	1	1												
Ma S¸t V©n Long Thæ Ch©u Giíi 	0	3	22	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	7									1	28	10	1	43	-1	-1	205	1	1												
Ma S¸t V©n Long Thæ Ch©u Giíi 	0	3	22	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	7									1	28	10	1	43	-1	-1	205	1	1												
CËp Phong Thanh Tïng Ph¸p Giíi 	0	3	23	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	8									1	29	10	1	43	-1	-1	205	1	1												
CËp Phong Thanh Tïng Ph¸p Giíi 	0	3	23	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	8									1	29	10	1	43	-1	-1	205	1	1												
CËp Phong Thanh Tïng Ph¸p Giíi 	0	3	23	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	8									1	29	10	1	43	-1	-1	205	1	1												
CËp Phong Thanh Tïng Ph¸p Giíi 	0	3	23	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	8									1	29	10	1	43	-1	-1	205	1	1												
CËp Phong Thanh Tïng Ph¸p Giíi 	0	3	23	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	8									1	29	10	1	43	-1	-1	205	1	1												
CËp Phong Thanh Tïng Ph¸p Giíi 	0	3	23	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	8									1	29	10	1	43	-1	-1	205	1	1												
CËp Phong Thanh Tïng Ph¸p Giíi 	0	3	23	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	8									1	29	10	1	43	-1	-1	205	1	1												
CËp Phong Thanh Tïng Ph¸p Giíi 	0	3	23	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	8									1	29	10	1	43	-1	-1	205	1	1												
CËp Phong Thanh Tïng Ph¸p Giíi 	0	3	23	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	8									1	29	10	1	43	-1	-1	205	1	1												
CËp Phong Thanh Tïng Ph¸p Giíi 	0	3	23	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	8									1	29	10	1	43	-1	-1	205	1	1												
L¨ng Nh¹c Né L«i Giíi 	0	3	24	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	8									1	30	10	1	85	120	120	106	40	40	1153	1	1	101	25	25	89	120	120	110	30	30
L¨ng Nh¹c Né L«i Giíi 	0	3	24	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	8									1	30	10	1	85	120	200	106	40	50	1153	1	3	101	25	30	89	120	200	110	30	40
L¨ng Nh¹c Né L«i Giíi 	0	3	24	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	8									1	30	10	1	85	120	200	106	40	50	1153	1	3	101	25	30	89	120	200	110	30	40
L¨ng Nh¹c Né L«i Giíi 	0	3	24	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	8									1	30	10	1	85	120	200	106	40	50	1153	1	3	101	25	30	89	120	200	110	30	40
L¨ng Nh¹c Né L«i Giíi 	0	3	24	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	8									1	30	10	1	85	120	200	106	40	50	1153	1	3	101	25	30	89	120	200	110	30	40
L¨ng Nh¹c Né L«i Giíi 	0	3	24	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	8									1	30	10	1	85	120	200	106	40	50	1153	1	3	101	25	30	89	120	200	110	30	40
L¨ng Nh¹c Né L«i Giíi 	0	3	24	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	8									1	30	10	1	85	120	200	106	40	50	1153	1	3	101	25	30	89	120	200	110	30	40
L¨ng Nh¹c Né L«i Giíi 	0	3	24	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	8									1	30	10	1	85	120	200	106	40	50	1153	1	3	101	25	30	89	120	200	110	30	40
L¨ng Nh¹c Né L«i Giíi 	0	3	24	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	8									1	30	10	1	85	120	200	106	40	50	1153	1	3	101	25	30	89	120	200	110	30	40
L¨ng Nh¹c Né L«i Giíi 	0	3	24	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	8									1	30	10	1	85	120	200	106	40	50	1153	1	3	101	25	30	89	120	200	110	30	40
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi 	0	3	25	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	8									1	30	10	1	43	-1	-1	205	1	1												
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi 	0	3	25	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	8									1	30	10	1	43	-1	-1	205	1	1												
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi 	0	3	25	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	8									1	30	10	1	43	-1	-1	205	1	1												
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi 	0	3	25	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	8									1	30	10	1	43	-1	-1	205	1	1												
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi 	0	3	25	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	8									1	30	10	1	43	-1	-1	205	1	1												
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi 	0	3	25	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	8									1	30	10	1	43	-1	-1	205	1	1												
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi 	0	3	25	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	8									1	30	10	1	43	-1	-1	205	1	1												
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi 	0	3	25	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	8									1	30	10	1	43	-1	-1	205	1	1												
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi 	0	3	25	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	8									1	30	10	1	43	-1	-1	205	1	1												
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi 	0	3	25	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	8									1	30	10	1	43	-1	-1	205	1	1												
Vô ¶o Thóc T©m ChØ Hoµn 	0	3	26	\spr\item\equip\ring\obj-ring05.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	9									1	31	10	3	43	-1	-1	205	1	1												
Vô ¶o Thóc T©m ChØ Hoµn 	0	3	26	\spr\item\equip\ring\obj-ring05.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	9									1	31	10	3	43	-1	-1	205	1	1												
Vô ¶o Thóc T©m ChØ Hoµn 	0	3	26	\spr\item\equip\ring\obj-ring05.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	9									1	31	10	3	43	-1	-1	205	1	1												
Vô ¶o Thóc T©m ChØ Hoµn 	0	3	26	\spr\item\equip\ring\obj-ring05.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	9									1	31	10	3	43	-1	-1	205	1	1												
Vô ¶o Thóc T©m ChØ Hoµn 	0	3	26	\spr\item\equip\ring\obj-ring05.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	9									1	31	10	3	43	-1	-1	205	1	1												
Vô ¶o Thóc T©m ChØ Hoµn 	0	3	26	\spr\item\equip\ring\obj-ring05.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	9									1	31	10	3	43	-1	-1	205	1	1												
Vô ¶o Thóc T©m ChØ Hoµn 	0	3	26	\spr\item\equip\ring\obj-ring05.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	9									1	31	10	3	43	-1	-1	205	1	1												
Vô ¶o Thóc T©m ChØ Hoµn 	0	3	26	\spr\item\equip\ring\obj-ring05.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	9									1	31	10	3	43	-1	-1	205	1	1												
Vô ¶o Thóc T©m ChØ Hoµn 	0	3	26	\spr\item\equip\ring\obj-ring05.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	9									1	31	10	3	43	-1	-1	205	1	1												
Vô ¶o Thóc T©m ChØ Hoµn 	0	3	26	\spr\item\equip\ring\obj-ring05.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	9									1	31	10	3	43	-1	-1	205	1	1												
S­¬ng Tinh Phong B¹o ChØ Hoµn 	0	3	27	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	9									1	32	10	1	43	-1	-1	205	1	1												
S­¬ng Tinh Phong B¹o ChØ Hoµn 	0	3	27	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	9									1	32	10	1	43	-1	-1	205	1	1												
S­¬ng Tinh Phong B¹o ChØ Hoµn 	0	3	27	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	9									1	32	10	1	43	-1	-1	205	1	1												
S­¬ng Tinh Phong B¹o ChØ Hoµn 	0	3	27	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	9									1	32	10	1	43	-1	-1	205	1	1												
S­¬ng Tinh Phong B¹o ChØ Hoµn 	0	3	27	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	9									1	32	10	1	43	-1	-1	205	1	1												
S­¬ng Tinh Phong B¹o ChØ Hoµn 	0	3	27	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	9									1	32	10	1	43	-1	-1	205	1	1												
S­¬ng Tinh Phong B¹o ChØ Hoµn 	0	3	27	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	9									1	32	10	1	43	-1	-1	205	1	1												
S­¬ng Tinh Phong B¹o ChØ Hoµn 	0	3	27	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	9									1	32	10	1	43	-1	-1	205	1	1												
S­¬ng Tinh Phong B¹o ChØ Hoµn 	0	3	27	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	9									1	32	10	1	43	-1	-1	205	1	1												
S­¬ng Tinh Phong B¹o ChØ Hoµn 	0	3	27	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	9									1	32	10	1	43	-1	-1	205	1	1												
L«i Khung Cöu Thiªn DÉn L«i Giíi 	0	3	28	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	1	0																						36	90	39	9									1	33	10	0	43	-1	-1	205	1	1												
L«i Khung Cöu Thiªn DÉn L«i Giíi 	0	3	28	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	2	0																						36	90	39	9									1	33	10	0	43	-1	-1	205	1	1												
L«i Khung Cöu Thiªn DÉn L«i Giíi 	0	3	28	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	3	0																						36	90	39	9									1	33	10	0	43	-1	-1	205	1	1												
L«i Khung Cöu Thiªn DÉn L«i Giíi 	0	3	28	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	4	0																						36	90	39	9									1	33	10	0	43	-1	-1	205	1	1												
L«i Khung Cöu Thiªn DÉn L«i Giíi 	0	3	28	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	5	0																						36	90	39	9									1	33	10	0	43	-1	-1	205	1	1												
L«i Khung Cöu Thiªn DÉn L«i Giíi 	0	3	28	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	6	0																						36	90	39	9									1	33	10	0	43	-1	-1	205	1	1												
L«i Khung Cöu Thiªn DÉn L«i Giíi 	0	3	28	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	7	0																						36	90	39	9									1	33	10	0	43	-1	-1	205	1	1												
L«i Khung Cöu Thiªn DÉn L«i Giíi 	0	3	28	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	8	0																						36	90	39	9									1	33	10	0	43	-1	-1	205	1	1												
L«i Khung Cöu Thiªn DÉn L«i Giíi 	0	3	28	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	9	0																						36	90	39	9									1	33	10	0	43	-1	-1	205	1	1												
L«i Khung Cöu Thiªn DÉn L«i Giíi 	0	3	28	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	0	20000	10	0																						36	90	39	9									1	33	10	0	43	-1	-1	205	1	1												
[Hoµn Mü] An Bang Cóc Hoa Th¹ch ChØ Hoµn 	0	3	29	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	1	0																						36	80											1	34	1	2	89	120	200	105	25	25	85	120	200									
[Hoµn Mü] An Bang Cóc Hoa Th¹ch ChØ Hoµn +2	0	3	29	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	2	0																						36	80											1	34	2	2	89	120	200	105	26	26	85	120	200									
[Hoµn Mü] An Bang Cóc Hoa Th¹ch ChØ Hoµn +3	0	3	29	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	3	0																						36	80											1	34	3	2	89	120	200	105	27	27	85	120	200									
[Hoµn Mü] An Bang Cóc Hoa Th¹ch ChØ Hoµn +4	0	3	29	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	4	0																						36	80											1	34	4	2	89	120	200	105	28	28	85	120	200									
[Hoµn Mü] An Bang Cóc Hoa Th¹ch ChØ Hoµn +5	0	3	29	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	5	0																						36	80											1	34	5	2	89	120	200	105	29	29	85	120	200									
[Hoµn Mü] An Bang Cóc Hoa Th¹ch ChØ Hoµn +6	0	3	29	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	6	0																						36	80											1	34	6	2	89	120	200	105	30	30	85	120	200									
[Hoµn Mü] An Bang Cóc Hoa Th¹ch ChØ Hoµn +7	0	3	29	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	7	0																						36	80											1	34	7	2	89	120	200	105	31	31	85	120	200									
[Hoµn Mü] An Bang Cóc Hoa Th¹ch ChØ Hoµn +8	0	3	29	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	8	0																						36	80											1	34	8	2	89	120	200	105	32	32	85	120	200									
[Hoµn Mü] An Bang Cóc Hoa Th¹ch ChØ Hoµn +9	0	3	29	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	9	0																						36	80											1	34	9	2	89	120	200	105	33	33	85	120	200									
[Hoµn Mü] An Bang Cóc Hoa Th¹ch ChØ Hoµn +10	0	3	29	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	2	20000	10	0																						36	80											1	34	10	2	89	120	200	105	34	34	85	120	200									
[Hoµn Mü] An Bang Kª HuyÕt Th¹ch Giíi ChØ 	0	3	30	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	1	0																						36	80											1	34	1	3	89	120	200	102	25	25	85	120	200									
[Hoµn Mü] An Bang Kª HuyÕt Th¹ch Giíi ChØ +2	0	3	30	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	2	0																						36	80											1	34	2	3	89	120	200	102	26	26	85	120	200									
[Hoµn Mü] An Bang Kª HuyÕt Th¹ch Giíi ChØ +3	0	3	30	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	3	0																						36	80											1	34	3	3	89	120	200	102	27	27	85	120	200									
[Hoµn Mü] An Bang Kª HuyÕt Th¹ch Giíi ChØ +4	0	3	30	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	4	0																						36	80											1	34	4	3	89	120	200	102	28	28	85	120	200									
[Hoµn Mü] An Bang Kª HuyÕt Th¹ch Giíi ChØ +5	0	3	30	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	5	0																						36	80											1	34	5	3	89	120	200	102	29	29	85	120	200									
[Hoµn Mü] An Bang Kª HuyÕt Th¹ch Giíi ChØ +6	0	3	30	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	6	0																						36	80											1	34	6	3	89	120	200	102	30	30	85	120	200									
[Hoµn Mü] An Bang Kª HuyÕt Th¹ch Giíi ChØ +7	0	3	30	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	7	0																						36	80											1	34	7	3	89	120	200	102	31	31	85	120	200									
[Hoµn Mü] An Bang Kª HuyÕt Th¹ch Giíi ChØ +8	0	3	30	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	8	0																						36	80											1	34	8	3	89	120	200	102	32	32	85	120	200									
[Hoµn Mü] An Bang Kª HuyÕt Th¹ch Giíi ChØ +9	0	3	30	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	9	0																						36	80											1	34	9	3	89	120	200	102	33	33	85	120	200									
[Hoµn Mü] An Bang Kª HuyÕt Th¹ch Giíi ChØ +10	0	3	30	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	3	20000	10	0																						36	80											1	34	10	3	89	120	200	102	34	34	85	120	200									
[Trang BÞ §· Hñy]	0	3	31	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color=red>Ngµy 15/02/2015 c¸c b¹n ®Õn Thî RÌn ®Ó hñy trang bÞ nµy<color>	2	20000	1	0																						36	60											1	35	10	2																		
V« Danh ChØ Hoµn [30 Ngµy]	0	3	31	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color=Yellow>B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	20000	2	0																						36	60											1	35	10	2	43	-1	-1	205	1	1												
V« Danh ChØ Hoµn	0	3	31	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color=Yellow>B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	20000	3	0																						36	60											1	35	10	2	43	-1	-1	205	1	1												
V« Danh ChØ Hoµn	0	3	31	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color=Yellow>B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	20000	4	0																						36	60											1	35	10	2	43	-1	-1	205	1	1												
V« Danh ChØ Hoµn	0	3	31	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color=Yellow>B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	20000	5	0																						36	60											1	35	10	2	43	-1	-1	205	1	1												
V« Danh ChØ Hoµn	0	3	31	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color=Yellow>B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	20000	6	0																						36	60											1	35	10	2	43	-1	-1	205	1	1												
V« Danh ChØ Hoµn	0	3	31	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color=Yellow>B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	20000	7	0																						36	60											1	35	10	2	43	-1	-1	205	1	1												
V« Danh ChØ Hoµn	0	3	31	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color=Yellow>B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	20000	8	0																						36	60											1	35	10	2	43	-1	-1	205	1	1												
V« Danh ChØ Hoµn	0	3	31	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color=Yellow>B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	20000	9	0																						36	60											1	35	10	2	43	-1	-1	205	1	1												
V« Danh ChØ Hoµn	0	3	31	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color=Yellow>B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	20000	10	0																						36	60											1	35	10	2	43	-1	-1	205	1	1												
[Trang BÞ §· Hñy]	0	3	32	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<color=red>Ngµy 15/02/2015 c¸c b¹n ®Õn Thî RÌn ®Ó hñy trang bÞ nµy<color>	3	20000	1	0																						36	60											1	35	10	3																		
V« Danh Giíi ChØ [30 Ngµy]	0	3	32	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<color=Yellow>Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã <color>	3	20000	2	0																						36	60											1	35	10	3	43	-1	-1	205	1	1												
V« Danh Giíi ChØ	0	3	32	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<color=Yellow>Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã <color>	3	20000	3	0																						36	60											1	35	10	3	43	-1	-1	205	1	1												
V« Danh Giíi ChØ	0	3	32	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<color=Yellow>Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã <color>	3	20000	4	0																						36	60											1	35	10	3	43	-1	-1	205	1	1												
V« Danh Giíi ChØ	0	3	32	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<color=Yellow>Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã <color>	3	20000	5	0																						36	60											1	35	10	3	43	-1	-1	205	1	1												
V« Danh Giíi ChØ	0	3	32	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<color=Yellow>Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã <color>	3	20000	6	0																						36	60											1	35	10	3	43	-1	-1	205	1	1												
V« Danh Giíi ChØ	0	3	32	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<color=Yellow>Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã <color>	3	20000	7	0																						36	60											1	35	10	3	43	-1	-1	205	1	1												
V« Danh Giíi ChØ	0	3	32	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<color=Yellow>Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã <color>	3	20000	8	0																						36	60											1	35	10	3	43	-1	-1	205	1	1												
V« Danh Giíi ChØ	0	3	32	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<color=Yellow>Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã <color>	3	20000	9	0																						36	60											1	35	10	3	43	-1	-1	205	1	1												
