Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
§Þch Kh¸i Lôc Ngäc Tr­îng 	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang BÞ Hoµng Kim		36000	130	0	28	69	69	29	128	128	167	-10	-10	31	1000	1000										36	90	32	180	39	6							1	25	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	20	40	1130	1	3
Ma S¸t Quû Cèc U Minh Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	121	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	7					1	28	10	2	126	50	50	121	30	30	166	240	240	123	80	80	115	20	20	1150	1	1
Ma S¸t Quû Cèc U Minh Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	122	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	7					1	28	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1150	1	3
Ma S¸t Quû Cèc U Minh Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	123	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	7					1	28	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1150	1	3
Ma S¸t Quû Cèc U Minh Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	124	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	7					1	28	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1150	1	3
Ma S¸t Quû Cèc U Minh Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	125	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	7					1	28	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1150	1	3
Ma S¸t Quû Cèc U Minh Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	126	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	7					1	28	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1150	1	3
Ma S¸t Quû Cèc U Minh Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	127	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	7					1	28	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1150	1	3
Ma S¸t Quû Cèc U Minh Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	128	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	7					1	28	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1150	1	3
Ma S¸t Quû Cèc U Minh Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	129	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	7					1	28	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1150	1	3
Ma S¸t Quû Cèc U Minh Th­¬ng 	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang BÞ Hoµng Kim		36000	130	0	28	18	18	29	158	158	167	30	30	31	1000	1000										36	90	32	165	33	165	39	7					1	28	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1150	1	3
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	151	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	9							1	32	10	0	137	4	4	121	30	30	126	50	50	123	80	80	115	20	20	1275	1	1
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	152	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	9							1	32	10	0	137	4	8	121	30	50	126	50	100	123	80	120	115	20	40	1275	1	3
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	153	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	9							1	32	10	0	137	4	8	121	30	50	126	50	100	123	80	120	115	20	40	1275	1	3
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	154	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	9							1	32	10	0	137	4	8	121	30	50	126	50	100	123	80	120	115	20	40	1275	1	3
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	155	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	9							1	32	10	0	137	4	8	121	30	50	126	50	100	123	80	120	115	20	40	1275	1	3
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	156	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	9							1	32	10	0	137	4	8	121	30	50	126	50	100	123	80	120	115	20	40	1275	1	3
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	157	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	9							1	32	10	0	137	4	8	121	30	50	126	50	100	123	80	120	115	20	40	1275	1	3
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	158	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	9							1	32	10	0	137	4	8	121	30	50	126	50	100	123	80	120	115	20	40	1275	1	3
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	159	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	9							1	32	10	0	137	4	8	121	30	50	126	50	100	123	80	120	115	20	40	1275	1	3
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	160	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	9							1	32	10	0	137	4	8	121	30	50	126	50	100	123	80	120	115	20	40	1275	1	3
CËp Phong Ch©n Vò KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	171	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	29	10	2	126	50	50	121	30	30	166	240	240	123	80	80	115	20	20	1166	1	1
CËp Phong Ch©n Vò KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	172	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	29	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1166	1	3
CËp Phong Ch©n Vò KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	173	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	29	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1166	1	3
CËp Phong Ch©n Vò KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	174	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	29	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1166	1	3
CËp Phong Ch©n Vò KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	175	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	29	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1166	1	3
CËp Phong Ch©n Vò KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	176	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	29	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1166	1	3
CËp Phong Ch©n Vò KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	177	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	29	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1166	1	3
CËp Phong Ch©n Vò KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	178	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	29	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1166	1	3
CËp Phong Ch©n Vò KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	179	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	29	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1166	1	3
CËp Phong Ch©n Vò KiÕm 	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang BÞ Hoµng Kim		30000	180	0	28	46	46	29	86	86	167	0	0	31	1000	1000										36	90	32	135	39	8							1	29	10	2	126	50	100	121	30	50	166	240	360	123	80	120	115	20	40	1166	1	3
Minh ¶o Tµ S¸t §éc NhËn 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	171	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	3							1	18	10	2	126	50	50	121	30	30	137	4	4	123	80	80	115	10	10	125	20	20
Minh ¶o Tµ S¸t §éc NhËn 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	172	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	3							1	18	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	10	20	125	20	30
Minh ¶o Tµ S¸t §éc NhËn 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	173	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	3							1	18	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	10	20	125	20	30
Minh ¶o Tµ S¸t §éc NhËn 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	174	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	3							1	18	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	10	20	125	20	30
Minh ¶o Tµ S¸t §éc NhËn 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	175	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	3							1	18	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	10	20	125	20	30
Minh ¶o Tµ S¸t §éc NhËn 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	176	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	3							1	18	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	10	20	125	20	30
Minh ¶o Tµ S¸t §éc NhËn 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	177	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	3							1	18	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	10	20	125	20	30
Minh ¶o Tµ S¸t §éc NhËn 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	178	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	3							1	18	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	10	20	125	20	30
Minh ¶o Tµ S¸t §éc NhËn 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	179	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	3							1	18	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	10	20	125	20	30
Minh ¶o Tµ S¸t §éc NhËn 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	180	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	3							1	18	10	2	126	50	100	121	30	50	137	4	8	123	80	120	115	10	20	125	20	30
Tª Hoµng Phông Nghi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	181	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	5							1	22	10	0	85	120	120	115	20	20	126	100	100	121	50	50	137	4	4	1114	1	1
Tª Hoµng Phông Nghi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	182	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	5							1	22	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1114	1	3
Tª Hoµng Phông Nghi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	183	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	5							1	22	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1114	1	3
Tª Hoµng Phông Nghi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	184	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	5							1	22	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1114	1	3
Tª Hoµng Phông Nghi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	185	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	5							1	22	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1114	1	3
Tª Hoµng Phông Nghi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	186	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	5							1	22	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1114	1	3
Tª Hoµng Phông Nghi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	187	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	5							1	22	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1114	1	3
Tª Hoµng Phông Nghi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	188	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	5							1	22	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1114	1	3
Tª Hoµng Phông Nghi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	189	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	5							1	22	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1114	1	3
Tª Hoµng Phông Nghi §ao 	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang BÞ Hoµng Kim		30000	190	0	28	40	40	29	114	114	167	-20	-20	31	1000	1000										36	90	32	135	39	5							1	22	10	0	85	120	200	115	20	40	126	100	150	121	50	60	137	4	8	1114	1	3
ThiÕt Trñy thñ	0	0	0	\spr\item\equip\closeweapon\obj-sword01.spr	9	1	3	"Lo¹i kiÕm nhá b»ng s¾t, kh¶ n¨ng s¸t th­¬ng kÐm. "		100	201	0	28	4	4	29	7	7	167	0	0	31	40	40										36	0	32	20									2		1																			
Cang KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword02.spr	9	1	3	Lo¹i kiÕm ®­îc tinh luyÖn tõ thÐp. 		1200	202	0	28	8	8	29	15	15	167	0	0	31	56	56										36	9	32	20									2		2																			
Thanh Phong KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword03.spr	9	1	3	"Lo¹i kiÕm máng, tinh luyÖn, s¾c nhän. "		2700	203	0	28	12	12	29	23	23	167	0	0	31	72	72										36	18	32	30									2		3																			
Long TuyÒn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword04.spr	9	1	3	"Lo¹i danh kiÕm thêi §­êng, truyÒn thuyÕt kÓ lo¹i kiÕm nµy cã Long KhÝ rÊt m¹nh. "		4800	204	0	28	16	16	29	31	31	167	0	0	31	88	88										36	27	32	40									2		4																			
Tr·m M· KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword05.spr	9	1	3	"KiÕm cæ thêi §­êng, th©n dµi vµ s¾c, chÐm ngùa còng ®¬n gi¶n nh­ chÆt tay. "		7500	205	0	28	21	21	29	39	39	167	0	0	31	104	104										36	36	32	50									2		5																			
¤ Kim KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword06.spr	9	1	3	"chÕ t¹o tõ lo¹i ¤ Kim quý hiÕm, cã thÓ chÐm ®ång chÆt s¾t. "		10800	206	0	28	25	25	29	46	46	167	0	0	31	120	120										36	45	32	60									2		6																			
XØ KhiÕp	0	0	0	\spr\item\equip\closeweapon\obj-sword23.spr	9	1	3	"lo¹i kiÕm cã h×nh r¨ng c­a, th©n dµi rÊt khã huy ®éng. "		15000	207	0	28	29	29	29	54	54	167	0	0	31	136	136										36	54	32	70									2		7																			
ThÊt XÝch KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword21.spr	9	1	3	"Th©n kiÕm siªu dµi, méc nh©ny yÕu kh«ng thÓ sö dông. "		20000	208	0	28	33	33	29	62	62	167	0	0	31	152	152										36	63	32	80									2		8																			
Thiªn NhËn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	"Lo¹i danh kiÕm cæ, ®øng xa tr¨m dÆm cã thÓ nghe ®­îc tiÕng thanh g­¬m kªu. "		25000	209	0	28	37	37	29	70	70	167	0	0	31	168	168										36	72	32	90									2		9																			
HuyÒn ThiÕt KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	"Lo¹i kiÕm ®­îc chÕ tõ lo¹i huyÒn thiÕt v¹n n¨m, nhän vµ dµi, thÝch hîp chiÕn ®Êu. "		30000	210	0	28	42	42	29	78	78	167	0	0	31	180	180										36	81	32	100									2		10																			
Yªu §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade01.spr	10	1	2	"Lo¹i ®ao nhá th«ng th­êng, c¸c hiÖp kh¸ch rÊt thÝch trang bÞ. "		100	201	0	28	3	3	29	11	11	167	-20	-20	31	44	44										36	0	32	20									2		1																			
§¬n §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade03.spr	10	1	2	"Lo¹i vò khÝ mµ c¸c L­¬ng S¬n H¶o h¸n th­êng thÝch trang bÞ, rÊt dÔ mua. "		1200	202	0	28	7	7	29	21	21	167	-20	-20	31	66	66										36	9	32	30									2		2																			
Quû §Çu §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade12.spr	10	1	3	"S¸t thñ rÊt thÝch dïng, mÒm dÎo s¾c nhän. "		2700	203	0	28	10	10	29	30	30	167	-20	-20	31	88	88										36	18	32	40									2		3																			
Nh¹n Linh §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade12.spr	10	1	3	"Tinh luyÖn tõ thÐp l¹nh, khÝ l¹nh kinh ng­êi. "		4800	204	0	28	14	14	29	42	42	167	-20	-20	31	110	110										36	27	32	50									2		4																			
NguyÖt Nha §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade13.spr	10	1	3	Lo¹i kiÕm cã tinh luyÖn tõ nhiÒu lo¹i ®éc d­îc. 		7500	205	0	28	18	18	29	51	51	167	-20	-20	31	132	132										36	36	32	60									2		5																			
Ph¸ Phong §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade14.spr	10	1	3	"Lo¹i ®ao khi vung lªn ph¸t ra tiÕng kªu rÊt ®¸ng sî, s¾c nhän v« ®Þch. "		10800	206	0	28	21	21	29	63	63	167	-20	-20	31	154	154										36	45	32	70									2		6																			
Cæn Ch©u B¶o ®ao	0	0	1	\spr\item\equip\closeweapon\obj-blade21.spr	10	1	4	"Mét lo¹i ®ao lµm nªn nhiÒu truyÒn thuyÕt, s¾c ®Õn møc ®Æt sîi tãc lªn còng ®øt. "		15000	207	0	28	25	25	29	72	72	167	-20	-20	31	176	176										36	54	32	80									2		7																			
YÓn NguyÖt §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade22.spr	10	1	4	"§¹i ®ao võa dµy võa nÆng, Ng­êi mang nã rÊt cã uy phong. "		20000	208	0	28	28	28	29	84	84	167	-20	-20	31	198	198										36	63	32	90									2		8																			
Thanh Long §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade23.spr	10	1	4	"Thanh ®ao mµ Quan V©n Tr­êng ®· tõng sö dông, b¶o vËt hiÕm thÊy. "		25000	209	0	28	32	32	29	93	93	167	-20	-20	31	220	220										36	72	32	100									2		9																			
§¹i Phong §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	"S¾c nhän khã b×, chÐm s¾t ®¸ còng gièng nh­ chÐm vµo bïn. "		30000	210	0	28	36	36	29	105	105	167	-20	-20	31	240	240										36	81	32	110									2		10																			
Thiªu Háa C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff01.spr	11	2	3	Lo¹i c«n hai ®Çu bÞt thÐp mµ hÇu nh­ c¸c m«n ph¸i ®Òu sö dông. 		100	201	0	28	6	6	29	11	11	167	-10	-10	31	56	56										36	0	32	30									2		1																			
TÒ Mi C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff02.spr	11	2	3	"Lo¹i c«n lµm tõ s¸p mËt ong, mÒm dÎo v« ®Þch. "		1500	202	0	28	12	12	29	23	23	167	-10	-10	31	82	82										36	9	32	45									2		2																			
Bµn Hoa C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff02.spr	11	2	3	Lo¹i c«n cã ch¹m kh¾c phï ®iªu rÊt ®Ñp.		3000	203	0	28	18	18	29	35	35	167	-10	-10	31	106	106										36	18	32	60									2		3																			
Hæ VÜ C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff03.spr	11	2	3	"Lo¹i c«n lµm tõ thÐp, dµi t¸m th­íc, cã ch¹m phï ®iªu. "		5000	204	0	28	25	25	29	46	46	167	-10	-10	31	130	130										36	27	32	75									2		4																			
Tiªu Bæng	0	0	2	\spr\item\equip\closeweapon\obj-staff04.spr	11	2	3	Lo¹i c«n th­êng nh­ng cã trang bÞ thªm phong tiªu. 		7500	205	0	28	31	31	29	58	58	167	-10	-10	31	154	154										36	36	32	90									2		5																			
Can Bæng	0	0	2	\spr\item\equip\closeweapon\obj-staff11.spr	11	1	4	"Lo¹i c«n bæng chÕ tõ s¸p ong, cùc kú mÒm dÎo. "		10000	206	0	28	37	37	29	70	70	167	-10	-10	31	178	178										36	45	32	105									2		6																			
Lang Nha Bæng	0	0	2	\spr\item\equip\closeweapon\obj-staff12.spr	11	1	4	"Lo¹i binh khÝ ng­êi Kim rÊt thÝch sö dông, ng­êi dïng cÇn ph¶i cã søc lùc. "		15000	207	0	28	44	44	29	81	81	167	-10	-10	31	222	222										36	54	32	120									2		7																			
Hçn ThiÕt Bæng	0	0	2	\spr\item\equip\closeweapon\obj-staff12.spr	11	1	4	"Lo¹i c«n ®­îc lµm tõ nhiÒu thø kim lo¹i, rÊt nÆng. "		21000	208	0	28	50	50	29	93	93	167	-10	-10	31	246	246										36	63	32	135									2		8																			
