√˚≥∆	ItemGenre	DetailType	ParticularType	∂Øª≠Œƒº˛√˚	∂‘”¶ŒÔº˛À˜“˝	øÌ∂»	∏ﬂ∂»	Àµ√˜Œƒ◊÷	ŒÂ–– Ù–‘	º€∏Ò	µ»º∂	 «∑Òµ˛∑≈	ª˘¥° Ù–‘1¿‡–Õ	ª˘¥° Ù–‘1◊Ó–°÷µ	ª˘¥° Ù–‘1◊Ó¥Û÷µ	ª˘¥° Ù–‘2¿‡–Õ	ª˘¥° Ù–‘2◊Ó–°÷µ	ª˘¥° Ù–‘2◊Ó¥Û÷µ	ª˘¥° Ù–‘3¿‡–Õ	ª˘¥° Ù–‘3◊Ó–°÷µ	ª˘¥° Ù–‘3◊Ó¥Û÷µ	ª˘¥° Ù–‘4¿‡–Õ	ª˘¥° Ù–‘4◊Ó–°÷µ	ª˘¥° Ù–‘4◊Ó¥Û÷µ	ª˘¥° Ù–‘5¿‡–Õ	ª˘¥° Ù–‘5◊Ó–°÷µ	ª˘¥° Ù–‘5◊Ó¥Û÷µ	ª˘¥° Ù–‘6¿‡–Õ	ª˘¥° Ù–‘6◊Ó–°÷µ	ª˘¥° Ù–‘6◊Ó¥Û÷µ	ª˘¥° Ù–‘7¿‡–Õ	ª˘¥° Ù–‘7◊Ó–°÷µ	ª˘¥° Ù–‘7◊Ó¥Û÷µ	–Ë«Û Ù–‘1¿‡–Õ	–Ë«Û Ù–‘1 ˝÷µ	–Ë«Û Ù–‘2¿‡–Õ	–Ë«Û Ù–‘2 ˝÷µ	–Ë«Û Ù–‘3¿‡–Õ	–Ë«Û Ù–‘3 ˝÷µ	–Ë«Û Ù–‘4¿‡–Õ	–Ë«Û Ù–‘4 ˝÷µ	–Ë«Û Ù–‘5¿‡–Õ	–Ë«Û Ù–‘5 ˝÷µ	–Ë«Û Ù–‘6¿‡–Õ	–Ë«Û Ù–‘6 ˝÷µ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
[Li™n ß u] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	18	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	8	0																						36	75											1	36	5	1	89	120	200	101	25	30												
[Li™n ß u] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	18	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	9	0																						36	75											1	36	5	1	89	120	200	101	25	30												
[Li™n ß u] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	18	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	10	0																						36	75											1	36	5	1	89	120	200	101	25	30												
Thi™n Hoµng Long Bµn Long c´i	0	9	19	\Spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	1	0																						36	60											1	37	6	0	89	120	200	135	1	3												
Thi™n Hoµng Long Bµn Long c´i	0	9	19	\Spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	2	0																						36	60											1	37	6	0	89	120	200	135	1	3												
Thi™n Hoµng Long Bµn Long c´i	0	9	19	\Spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	3	0																						36	60											1	37	6	0	89	120	200	135	1	3												
Thi™n Hoµng Long Bµn Long c´i	0	9	19	\Spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	4	0																						36	60											1	37	6	0	89	120	200	135	1	3												
Thi™n Hoµng Long Bµn Long c´i	0	9	19	\Spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	5	0																						36	60											1	37	6	0	89	120	200	135	1	3												
Thi™n Hoµng Long Bµn Long c´i	0	9	19	\Spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	6	0																						36	60											1	37	6	0	89	120	200	135	1	3												
Thi™n Hoµng Long Bµn Long c´i	0	9	19	\Spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	7	0																						36	60											1	37	6	0	89	120	200	135	1	3												
Thi™n Hoµng Long Bµn Long c´i	0	9	19	\Spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	8	0																						36	60											1	37	6	0	89	120	200	135	1	3												
Thi™n Hoµng Long Bµn Long c´i	0	9	19	\Spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	9	0																						36	60											1	37	6	0	89	120	200	135	1	3												
Thi™n Hoµng Long Bµn Long c´i	0	9	19	\Spr\item\equip\waist\obj-waist16.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	10	0																						36	60											1	37	6	0	89	120	200	135	1	3												
[ßﬁnh ThÍi] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	20	\Spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	1	0																						36	75											1	38	5	1	89	180	200	101	28	30												
[ßﬁnh ThÍi] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	20	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	2	0																						36	75											1	38	5	1	89	120	200	101	25	25												
[ßﬁnh ThÍi] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	20	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	3	0																						36	75											1	38	5	1	89	120	200	101	26	26												
[ßﬁnh ThÍi] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	20	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	4	0																						36	75											1	38	5	1	89	120	200	101	27	27												
[ßﬁnh ThÍi] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	20	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	5	0																						36	75											1	38	5	1	89	120	200	101	28	28												
[ßﬁnh ThÍi] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	20	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	6	0																						36	75											1	38	5	1	89	120	200	101	29	29												
[ßﬁnh ThÍi] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	20	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	7	0																						36	75											1	38	5	1	89	120	200	101	30	30												
[ßﬁnh ThÍi] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	20	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	8	0																						36	75											1	38	5	1	89	120	120	101	20	20												
[ßﬁnh ThÍi] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	20	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	9	0																						36	75											1	38	5	1	89	120	200	101	25	30												
[ßﬁnh ThÍi] An Bang ßi“n Hoµng Thπch Ng‰c BÈi	0	9	20	\spr\item\equip\waist\obj-waist18.spr	35	1	2	Trang bﬁ Hoµng Kim	1	20000	10	0																						36	75											1	38	5	1	89	120	200	101	25	30												
Hoµng Kim T©n ThÒ (Ng‰c BÈi)	0	9	21	\spr\item\equip\waist\obj-waist17.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	1	0																						36	90											1	39	5	0	85	180	180	97	10	10	89	180	180	101	19	19	93	180	180	110	20	20
Hoµng Kim T©n ThÒ (Ng‰c BÈi)	0	9	21	\spr\item\equip\waist\obj-waist17.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	2	0																						36	90											1	39	5	0	85	150	150	101	19	19	89	150	150	110	30	30						
Hoµng Kim T©n ThÒ (Ng‰c BÈi)	0	9	21	\spr\item\equip\waist\obj-waist17.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	3	0																						36	90											1	39	5	0	85	150	150	101	19	19	89	150	150	110	30	30						
Hoµng Kim T©n ThÒ (Ng‰c BÈi)	0	9	21	\spr\item\equip\waist\obj-waist17.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	4	0																						36	90											1	39	5	0	85	150	150	101	19	19	89	150	150	110	30	30						
Hoµng Kim T©n ThÒ (Ng‰c BÈi)	0	9	21	\spr\item\equip\waist\obj-waist17.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	5	0																						36	90											1	39	5	0	85	150	150	101	19	19	89	150	150	110	30	30						
Hoµng Kim T©n ThÒ (Ng‰c BÈi)	0	9	21	\spr\item\equip\waist\obj-waist17.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	6	0																						36	90											1	39	5	0	85	150	150	101	19	19	89	150	150	110	30	30						
Hoµng Kim T©n ThÒ (Ng‰c BÈi)	0	9	21	\spr\item\equip\waist\obj-waist17.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	7	0																						36	90											1	39	5	0	85	150	150	101	19	19	89	150	150	110	30	30						
Hoµng Kim T©n ThÒ (Ng‰c BÈi)	0	9	21	\spr\item\equip\waist\obj-waist17.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	8	0																						36	90											1	39	5	0	85	150	150	101	19	19	89	150	150	110	30	30						
Hoµng Kim T©n ThÒ (Ng‰c BÈi)	0	9	21	\spr\item\equip\waist\obj-waist17.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	9	0																						36	90											1	39	5	0	85	150	150	101	19	19	89	150	150	110	30	30						
Hoµng Kim T©n ThÒ (Ng‰c BÈi)	0	9	21	\spr\item\equip\waist\obj-waist17.spr	35	1	2	Trang bﬁ Hoµng Kim	0	20000	10	0																						36	90											1	39	5	0	85	150	150	101	19	19	89	150	150	110	30	30						
